FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
101653,101657,Buteo swainsoni,Aves,Accipitriformes,2003,3,27,-120.626495,37.17769,1,HUMAN_OBSERVATION,Mojave
101663,101667,Buteo swainsoni,Aves,Accipitriformes,2018,5,24,-119.891655,36.70476,2,HUMAN_OBSERVATION,
101676,101680,Buteo swainsoni,Aves,Accipitriformes,2019,4,2,-119.40703,36.054356,2,HUMAN_OBSERVATION,Sonoran
101677,101681,Empidonax traillii,Aves,Passeriformes,2016,5,22,-119.64489,35.934444,2,HUMAN_OBSERVATION,
101689,101693,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,11,22,-120.62001,37.182293,2,HUMAN_OBSERVATION,
101694,101698,Buteo swainsoni,Aves,Accipitriformes,2019,5,10,-120.9648,37.252193,2,HUMAN_OBSERVATION,
101730,101734,Gymnogyps californianus,Aves,Accipitriformes,2019,3,13,-119.39907,34.931927,5,HUMAN_OBSERVATION,
101740,101744,Agelaius tricolor,Aves,Passeriformes,2005,3,6,-120.12439,35.569893,0,HUMAN_OBSERVATION,
101761,101765,Agelaius tricolor,Aves,Passeriformes,2013,3,19,-121.28138,37.45279,6,HUMAN_OBSERVATION,
101794,101798,Buteo swainsoni,Aves,Accipitriformes,2013,4,9,-119.34606,35.891945,1,HUMAN_OBSERVATION,Sonoran
101796,101800,Gymnogyps californianus,Aves,Accipitriformes,2018,6,18,-119.37666,34.90416,4,HUMAN_OBSERVATION,
101803,101807,Agelaius tricolor,Aves,Passeriformes,2012,5,24,-119.40703,36.054356,10,HUMAN_OBSERVATION,
101807,101811,Agelaius tricolor,Aves,Passeriformes,2020,3,14,-120.81,37.184,1,HUMAN_OBSERVATION,
101811,101815,Buteo swainsoni,Aves,Accipitriformes,2008,6,17,-120.8,37.12,0,HUMAN_OBSERVATION,Mojave
101826,101830,Gymnogyps californianus,Aves,Accipitriformes,2014,10,27,-119.36288,34.895287,5,HUMAN_OBSERVATION,Mojave
101830,101834,Agelaius tricolor,Aves,Passeriformes,1980,5,6,-119.48297,34.883465,0,HUMAN_OBSERVATION,
101838,101842,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,1,28,-120.626495,37.17769,1,HUMAN_OBSERVATION,
101839,101843,Buteo swainsoni,Aves,Accipitriformes,2012,5,12,-119.92055,36.371616,1,HUMAN_OBSERVATION,Mojave
101848,101852,Empidonax traillii,Aves,Passeriformes,2013,9,10,-119.92055,36.371616,2,HUMAN_OBSERVATION,
101849,101853,Empidonax traillii,Aves,Passeriformes,2018,9,6,-121.06463,37.107643,1,HUMAN_OBSERVATION,
101886,101890,Agelaius tricolor,Aves,Passeriformes,2017,4,11,-119.60883,35.05841,25,HUMAN_OBSERVATION,
101896,101900,Buteo swainsoni,Aves,Accipitriformes,2019,7,25,-119.461815,36.257908,1,HUMAN_OBSERVATION,
101902,101906,Buteo swainsoni,Aves,Accipitriformes,2013,6,9,-119.92055,36.371616,1,HUMAN_OBSERVATION,
101909,101913,Agelaius tricolor,Aves,Passeriformes,2013,2,11,-120.626495,37.17769,0,HUMAN_OBSERVATION,
101925,101929,Buteo swainsoni,Aves,Accipitriformes,2015,6,27,-119.375854,35.90652,1,HUMAN_OBSERVATION,Mojave
101932,101936,Buteo swainsoni,Aves,Accipitriformes,2019,8,8,-119.891655,36.70476,2,HUMAN_OBSERVATION,
101948,101952,Agelaius tricolor,Aves,Passeriformes,2010,12,28,-119.96153,35.83574,100,HUMAN_OBSERVATION,Mojave
101954,101958,Agelaius tricolor,Aves,Passeriformes,2020,4,28,-119.59336,35.7592,1,HUMAN_OBSERVATION,
101967,101971,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,26,-120.81177,36.70905,1,HUMAN_OBSERVATION,
101972,101976,Buteo swainsoni,Aves,Accipitriformes,2015,4,11,-119.50738,36.045353,4,HUMAN_OBSERVATION,Sonoran
101983,101987,Buteo swainsoni,Aves,Accipitriformes,2015,5,21,-119.82059,36.23216,2,HUMAN_OBSERVATION,
101988,101992,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,26,-118.91107,35.448837,2,HUMAN_OBSERVATION,
101997,102001,Buteo swainsoni,Aves,Accipitriformes,2019,5,25,-120.3195,36.7159,1,HUMAN_OBSERVATION,Sonoran
102042,102046,Agelaius tricolor,Aves,Passeriformes,2008,2,29,-120.01701,35.29332,10,HUMAN_OBSERVATION,
102045,102049,Agelaius tricolor,Aves,Passeriformes,2014,2,12,-120.863,37.1331,16,HUMAN_OBSERVATION,San Joaquin
102052,102056,Buteo swainsoni,Aves,Accipitriformes,2012,2,18,-120.13936,36.665234,1,HUMAN_OBSERVATION,
102058,102062,Buteo swainsoni,Aves,Accipitriformes,1992,8,25,-119.13218,35.351536,5,HUMAN_OBSERVATION,Sonoran
102085,102089,Agelaius tricolor,Aves,Passeriformes,2010,8,3,-120.8,37.2,5,HUMAN_OBSERVATION,
102087,102091,Buteo swainsoni,Aves,Accipitriformes,2020,5,31,-119.42136,36.303814,0,HUMAN_OBSERVATION,
102094,102098,Agelaius tricolor,Aves,Passeriformes,2020,2,1,-120.89854,36.630684,50,HUMAN_OBSERVATION,
102119,102123,Agelaius tricolor,Aves,Passeriformes,2013,1,25,-119.58163,35.73671,2,HUMAN_OBSERVATION,
102130,102134,Buteo swainsoni,Aves,Accipitriformes,2009,8,21,-120.56191,36.919373,120,HUMAN_OBSERVATION,
102160,102164,Buteo swainsoni,Aves,Accipitriformes,2019,5,11,-120.81001,37.157436,2,HUMAN_OBSERVATION,
102167,102171,Buteo swainsoni,Aves,Accipitriformes,2020,5,19,-120.626495,37.17769,2,HUMAN_OBSERVATION,
102171,102175,Buteo swainsoni,Aves,Accipitriformes,2009,6,4,-119.36392,35.332806,1,HUMAN_OBSERVATION,
102176,102180,Buteo swainsoni,Aves,Accipitriformes,2020,8,13,-119.891655,36.70476,1,HUMAN_OBSERVATION,
102177,102181,Buteo swainsoni,Aves,Accipitriformes,2015,4,5,-119.64781,34.94032,1,HUMAN_OBSERVATION,Sonoran
102185,102189,Buteo swainsoni,Aves,Accipitriformes,2020,4,17,-120.61955,37.184353,4,HUMAN_OBSERVATION,
102187,102191,Agelaius tricolor,Aves,Passeriformes,2015,1,31,-120.82442,36.602737,10,HUMAN_OBSERVATION,
102201,102205,Buteo swainsoni,Aves,Accipitriformes,1975,3,23,-120.8,37.12,1,HUMAN_OBSERVATION,
102215,102219,Gymnogyps californianus,Aves,Accipitriformes,2016,3,25,-119.48297,34.883465,5,HUMAN_OBSERVATION,
102217,102221,Buteo swainsoni,Aves,Accipitriformes,2017,5,11,-119.40703,36.054356,2,HUMAN_OBSERVATION,
102236,102240,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,17,-120.89854,36.630684,1,HUMAN_OBSERVATION,
102238,102242,Buteo swainsoni,Aves,Accipitriformes,2020,3,25,-120.0563,36.829773,2,HUMAN_OBSERVATION,
102244,102248,Buteo swainsoni,Aves,Accipitriformes,2013,9,9,-120.510376,37.084694,1,HUMAN_OBSERVATION,
102252,102256,Buteo swainsoni,Aves,Accipitriformes,2011,10,9,-119.94272,36.053955,8,HUMAN_OBSERVATION,
