FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
61810,61814,Buteo swainsoni,Aves,Accipitriformes,2018,4,9,-114.725,33.399178,3,HUMAN_OBSERVATION,
61828,61832,Melanerpes uropygialis,Aves,Piciformes,2015,8,8,-115.5994,32.94161,3,HUMAN_OBSERVATION,
61833,61837,Melanerpes uropygialis,Aves,Piciformes,2017,2,5,-115.68415,32.781845,1,HUMAN_OBSERVATION,
61847,61851,Melanerpes uropygialis,Aves,Piciformes,2015,8,13,-115.55444,32.968323,2,HUMAN_OBSERVATION,
61855,61859,Melanerpes uropygialis,Aves,Piciformes,2016,9,20,-115.5994,32.94161,1,HUMAN_OBSERVATION,San Joaquin
61876,61880,Empidonax traillii,Aves,Passeriformes,2015,5,14,-114.49237,32.84977,3,HUMAN_OBSERVATION,
61907,61911,Empidonax traillii,Aves,Passeriformes,2018,9,30,-115.83078,33.499706,3,HUMAN_OBSERVATION,
61931,61935,Buteo swainsoni,Aves,Accipitriformes,2006,2,18,-115.68999,32.74621,1,HUMAN_OBSERVATION,
61956,61960,Empidonax traillii,Aves,Passeriformes,2000,5,20,-115.39479,33.74029,0,HUMAN_OBSERVATION,
61960,61964,Melanerpes uropygialis,Aves,Piciformes,2018,1,6,-114.534546,33.67103,2,HUMAN_OBSERVATION,
61961,61965,Buteo swainsoni,Aves,Accipitriformes,2017,3,8,-116.365654,33.297318,50,HUMAN_OBSERVATION,
62042,62046,Riparia riparia,Aves,Passeriformes,2016,12,30,-116.09956,33.54412,1,HUMAN_OBSERVATION,Mojave
62080,62084,Melanerpes uropygialis,Aves,Piciformes,2005,12,24,-115.52811,33.045006,1,HUMAN_OBSERVATION,
62113,62117,Melanerpes uropygialis,Aves,Piciformes,2003,2,16,-115.55444,32.968323,0,HUMAN_OBSERVATION,
62121,62125,Buteo swainsoni,Aves,Accipitriformes,1994,3,18,-116.22677,32.858543,1,HUMAN_OBSERVATION,
62124,62128,Melanerpes uropygialis,Aves,Piciformes,2015,1,24,-115.55444,32.968323,1,HUMAN_OBSERVATION,Sonoran
62135,62139,Buteo swainsoni,Aves,Accipitriformes,2019,2,17,-114.75475,33.609276,1,HUMAN_OBSERVATION,
62137,62141,Riparia riparia,Aves,Passeriformes,2010,9,6,-115.964096,33.67837,4,HUMAN_OBSERVATION,
62160,62164,Empidonax traillii,Aves,Passeriformes,2020,9,29,-116.1869,32.61962,2,HUMAN_OBSERVATION,
62176,62180,Riparia riparia,Aves,Passeriformes,2013,4,19,-115.6487,33.161804,3,HUMAN_OBSERVATION,
62205,62209,Melanerpes uropygialis,Aves,Piciformes,1990,6,2,-115.498055,32.665833,1,HUMAN_OBSERVATION,
62208,62212,Haliaeetus leucocephalus,Aves,Accipitriformes,2010,1,31,-115.709724,33.082695,1,HUMAN_OBSERVATION,Sonoran
62210,62214,Melanerpes uropygialis,Aves,Piciformes,2015,11,6,-115.54274,32.992756,1,HUMAN_OBSERVATION,
62220,62224,Empidonax traillii,Aves,Passeriformes,2013,5,25,-115.52324,33.08172,1,HUMAN_OBSERVATION,
62224,62228,Melanerpes uropygialis,Aves,Piciformes,2011,8,13,-115.60416,33.192356,0,HUMAN_OBSERVATION,
62238,62242,Melanerpes uropygialis,Aves,Piciformes,2020,2,1,-115.55444,32.968323,2,HUMAN_OBSERVATION,
62241,62245,Melanerpes uropygialis,Aves,Piciformes,2019,7,27,-115.69367,32.767105,4,HUMAN_OBSERVATION,Sonoran
62260,62264,Melanerpes uropygialis,Aves,Piciformes,2015,2,22,-115.55444,32.968323,1,HUMAN_OBSERVATION,
62274,62278,Empidonax traillii,Aves,Passeriformes,2014,5,10,-115.39479,33.74029,1,HUMAN_OBSERVATION,
62275,62279,Buteo swainsoni,Aves,Accipitriformes,2018,3,24,-116.314705,33.20896,1,HUMAN_OBSERVATION,
62302,62306,Melanerpes uropygialis,Aves,Piciformes,2011,12,31,-114.90085,33.61075,1,HUMAN_OBSERVATION,
62320,62324,Empidonax traillii,Aves,Passeriformes,2002,9,8,-115.60416,33.192356,0,HUMAN_OBSERVATION,
62340,62344,Melanerpes uropygialis,Aves,Piciformes,2020,9,17,-114.47981,32.87638,3,HUMAN_OBSERVATION,
62344,62348,Buteo swainsoni,Aves,Accipitriformes,2017,7,30,-114.39462,34.113617,1,HUMAN_OBSERVATION,
62356,62360,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,2,13,-115.57969,33.280674,1,HUMAN_OBSERVATION,San Joaquin
62383,62387,Buteo swainsoni,Aves,Accipitriformes,2008,4,7,-116.47142,33.09793,0,HUMAN_OBSERVATION,
62396,62400,Melanerpes uropygialis,Aves,Piciformes,1985,4,22,-114.49302,32.831287,2,HUMAN_OBSERVATION,
62398,62402,Riparia riparia,Aves,Passeriformes,2018,4,15,-115.70217,32.764038,2,HUMAN_OBSERVATION,San Joaquin
62438,62442,Melanerpes uropygialis,Aves,Piciformes,2019,11,10,-114.61429,33.022453,1,HUMAN_OBSERVATION,San Joaquin
62498,62502,Melanerpes uropygialis,Aves,Piciformes,2015,9,6,-115.5994,32.94161,4,HUMAN_OBSERVATION,
62503,62507,Buteo swainsoni,Aves,Accipitriformes,2014,10,16,-114.66807,33.50683,2,HUMAN_OBSERVATION,
62530,62534,Riparia riparia,Aves,Passeriformes,2016,3,30,-116.195786,33.711666,1,HUMAN_OBSERVATION,
62533,62537,Buteo swainsoni,Aves,Accipitriformes,2019,4,13,-116.407196,33.77868,1,HUMAN_OBSERVATION,Sonoran
62550,62554,Melanerpes uropygialis,Aves,Piciformes,2003,12,31,-115.55444,32.968323,2,HUMAN_OBSERVATION,
62576,62580,Buteo swainsoni,Aves,Accipitriformes,2014,3,15,-116.36566,33.29729,1,HUMAN_OBSERVATION,
62600,62604,Melanerpes uropygialis,Aves,Piciformes,2017,4,20,-115.5994,32.94161,1,HUMAN_OBSERVATION,
