obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,n_observations
45,Gopherus agassizii,Reptilia,Testudines,2009,5,15,-115.451528,35.154436,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
1067,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,9,5,-116.493414,33.326946,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
3439,Puma concolor,Mammalia,Carnivora,2019,11,5,-116.47808,33.153343,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
3516,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
3945,Ammospermophilus nelsoni,Mammalia,Rodentia,2021,5,24,-119.797113,35.113389,1,HUMAN_OBSERVATION,WASH,2010,947.4305,1087,1
3954,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2006,12,30,-116.452502,33.312273,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
4077,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2018,6,29,-116.493487,33.356533,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
4755,Colaptes chrysoides,Aves,Piciformes,2010,7,16,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
4897,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,5,29,-121.30736,37.44076,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
5334,Colaptes chrysoides,Aves,Piciformes,2010,6,1,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
5500,Agelaius tricolor,Aves,Passeriformes,2010,4,22,-120.174,35.9561,2,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
6528,Agelaius tricolor,Aves,Passeriformes,2017,2,26,-116.534831,33.375444,1,HUMAN_OBSERVATION,COYOTE,2003,18704.78,506,1
6677,Empidonax traillii,Aves,Passeriformes,2020,10,3,-116.56721,34.047775,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,23
6928,Colaptes chrysoides,Aves,Piciformes,2013,12,28,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
7181,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,3,4,-116.473421,33.261868,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
7365,Gopherus agassizii,Reptilia,Testudines,2015,5,27,-115.489642,35.004906,1,HUMAN_OBSERVATION,BLAIR,2006,66.48067,673,1
7395,Buteo swainsoni,Aves,Accipitriformes,2021,5,21,-115.823739,33.499592,1,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,1
7476,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,9,25,-116.459088,33.331965,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
7700,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,3,9,-116.482208,33.22775,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
