obsID,obsYear,month,day,species,class,order,indvdlC,fireID
241897,2019,6,19,Colaptes chrysoides,Aves,Piciformes,2,1109
242259,2016,4,2,Colaptes chrysoides,Aves,Piciformes,1,1109
242302,2019,5,26,Colaptes chrysoides,Aves,Piciformes,3,1109
242566,2020,6,2,Colaptes chrysoides,Aves,Piciformes,2,1109
242783,2015,5,25,Colaptes chrysoides,Aves,Piciformes,1,1109
242893,2010,5,22,Buteo swainsoni,Aves,Accipitriformes,1,1109
242967,2010,3,21,Buteo swainsoni,Aves,Accipitriformes,1,417
243226,2007,8,23,Empidonax traillii,Aves,Passeriformes,1,351
243308,2017,5,6,Buteo swainsoni,Aves,Accipitriformes,1,873
243888,2014,4,6,Colaptes chrysoides,Aves,Piciformes,1,1109
244591,2017,5,6,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
245100,2019,6,20,Colaptes chrysoides,Aves,Piciformes,1,1109
245650,2019,6,16,Buteo swainsoni,Aves,Accipitriformes,20,946
245780,2017,7,27,Colaptes chrysoides,Aves,Piciformes,1,565
246439,2018,5,14,Empidonax traillii,Aves,Passeriformes,1,296
246518,2014,3,22,Agelaius tricolor,Aves,Passeriformes,8,1110
248988,2010,5,22,Buteo swainsoni,Aves,Accipitriformes,1,1109
249284,2012,4,2,Buteo swainsoni,Aves,Accipitriformes,1,1045
250580,2014,6,9,Colaptes chrysoides,Aves,Piciformes,1,1109
251329,2017,11,13,Colaptes chrysoides,Aves,Piciformes,1,1109
251434,2020,10,28,Haliaeetus leucocephalus,Aves,Accipitriformes,2,512
251922,2019,12,3,Haliaeetus leucocephalus,Aves,Accipitriformes,2,873
252143,2019,6,19,Buteo swainsoni,Aves,Accipitriformes,6,997
252143,2019,6,19,Buteo swainsoni,Aves,Accipitriformes,6,1112
252936,2019,5,26,Colaptes chrysoides,Aves,Piciformes,2,1109
253699,2018,5,2,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1112
254274,2015,6,1,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
