obsID,obsYear,month,day,species,class,order,indvdlC,fireID
133584,2012,4,16,Agelaius tricolor,Aves,Passeriformes,280,418
134650,2012,9,8,Buteo swainsoni,Aves,Accipitriformes,1,565
134836,2013,4,7,Colaptes chrysoides,Aves,Piciformes,1,1109
134851,2012,9,14,Colaptes chrysoides,Aves,Piciformes,1,1109
134927,1996,4,20,Buteo swainsoni,Aves,Accipitriformes,1,271
135169,2012,4,15,Buteo swainsoni,Aves,Accipitriformes,2,271
135229,2015,12,3,Haliaeetus leucocephalus,Aves,Accipitriformes,3,873
135269,2019,4,24,Buteo swainsoni,Aves,Accipitriformes,1,271
135287,2016,4,9,Buteo swainsoni,Aves,Accipitriformes,13,417
135638,2015,1,31,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
136401,2018,5,19,Empidonax traillii,Aves,Passeriformes,1,565
136752,2014,4,5,Buteo swainsoni,Aves,Accipitriformes,1,1109
136894,2013,5,18,Empidonax traillii,Aves,Passeriformes,1,1045
137416,2014,4,5,Colaptes chrysoides,Aves,Piciformes,1,1109
137502,2017,6,12,Colaptes chrysoides,Aves,Piciformes,1,1109
138372,2008,4,12,Buteo swainsoni,Aves,Accipitriformes,1,271
138814,2015,5,25,Colaptes chrysoides,Aves,Piciformes,1,1109
