obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres,firemonth
8751,Gymnogyps californianus,Aves,Accipitriformes,2019,6,14,-119.39907,34.931927,3,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
8784,Empidonax traillii,Aves,Passeriformes,2012,5,26,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
8788,Empidonax traillii,Aves,Passeriformes,2019,5,23,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
8852,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,9,13,-121.048225,37.08216,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,1,3568,8
8852,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,9,13,-121.048225,37.08216,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,1,1916,7
8893,Haliaeetus leucocephalus,Aves,Accipitriformes,2006,5,6,-121.28138,37.45279,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,1,25919,10
10500,Empidonax traillii,Aves,Passeriformes,2013,10,2,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
10535,Buteo swainsoni,Aves,Accipitriformes,2015,4,11,-115.5893,35.3669,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,1,17321,9
10753,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,5,31,-116.570093,33.714287,NA,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,1,4308,7
10845,Gymnogyps californianus,Aves,Accipitriformes,2017,4,15,-119.39907,34.931927,5,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
11125,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2012,6,10,-116.419091,33.289061,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,1,10110,7
11460,Puma concolor,Mammalia,Carnivora,2020,10,10,-116.476219,33.099855,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,1,8290,8
11689,Puma concolor,Mammalia,Carnivora,2021,2,2,-116.437045,33.06807,NA,HUMAN_OBSERVATION,BANNER FIRE,2012,5320.116,329,1,7663,5
12009,Buteo swainsoni,Aves,Accipitriformes,2019,4,24,-116.574566,34.048987,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
12394,Agelaius tricolor,Aves,Passeriformes,2015,3,10,-119.40985,34.922256,75,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
12570,Buteo swainsoni,Aves,Accipitriformes,2018,4,21,-118.36158,34.67615,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,1,9729,6
12626,Agelaius tricolor,Aves,Passeriformes,2020,1,12,-120.02301,35.347034,15,HUMAN_OBSERVATION,BECK,2000,396.3609,926,1,2259,NA
12928,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,15,-117.83584,34.439335,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,1,19113,9
13174,Melanerpes uropygialis,Aves,Piciformes,2013,5,23,-114.51835,34.747265,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,1,2972,4
13296,Empidonax traillii,Aves,Passeriformes,2008,8,16,-115.83078,33.499706,NA,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,1,2758,4
13460,Buteo swainsoni,Aves,Accipitriformes,2018,4,12,-118.36158,34.67615,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,1,9729,6
13487,Melanerpes uropygialis,Aves,Piciformes,1981,9,14,-114.47981,32.87638,3,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
13604,Agelaius tricolor,Aves,Passeriformes,2016,4,2,-119.4465,34.9636,NA,HUMAN_OBSERVATION,SODA,2005,449.4977,678,1,2125,6
13604,Agelaius tricolor,Aves,Passeriformes,2016,4,2,-119.4465,34.9636,NA,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,1,3096,7
13875,Puma concolor,Mammalia,Carnivora,2017,10,11,-116.46481,33.09662,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,1,8290,8
13886,Rana muscosa,Amphibia,Anura,2018,6,2,-116.617482,33.826714,NA,HUMAN_OBSERVATION,TRAM,2013,59.22004,531,1,1167,8
18133,Melanerpes uropygialis,Aves,Piciformes,1991,3,27,-114.470245,32.88413,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
18197,Empidonax traillii,Aves,Passeriformes,2013,9,25,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
18320,Melanerpes uropygialis,Aves,Piciformes,2012,1,11,-114.469,32.884605,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
18539,Empidonax traillii,Aves,Passeriformes,2000,5,20,-116.56938,34.05072,5,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
18586,Buteo swainsoni,Aves,Accipitriformes,2020,4,11,-121.05777,37.058636,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,1,2879,5
18642,Melanerpes uropygialis,Aves,Piciformes,2018,4,24,-114.469,32.884605,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
18678,Empidonax traillii,Aves,Passeriformes,2018,9,2,-115.83078,33.499706,1,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,1,2758,4
18980,Gymnogyps californianus,Aves,Accipitriformes,2014,1,11,-119.39508,34.921055,12,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
19029,Empidonax traillii,Aves,Passeriformes,1998,5,31,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
42914,Buteo swainsoni,Aves,Accipitriformes,2019,8,19,-119.39907,34.931927,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
42950,Gymnogyps californianus,Aves,Accipitriformes,2014,1,11,-119.39508,34.921055,12,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
42985,Riparia riparia,Aves,Passeriformes,2019,4,25,-120.675,37.18612,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,1,1430,7
43028,Empidonax traillii,Aves,Passeriformes,2011,9,5,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
43092,Empidonax traillii,Aves,Passeriformes,1986,8,31,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
43111,Haliaeetus leucocephalus,Aves,Accipitriformes,1973,2,4,-120.65426,37.186714,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,1,1430,7
43177,Gymnogyps californianus,Aves,Accipitriformes,2017,5,3,-119.39907,34.931927,2,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
43202,Empidonax traillii,Aves,Passeriformes,1993,5,15,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
43354,Melanerpes uropygialis,Aves,Piciformes,2013,7,12,-114.47981,32.87638,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
43374,Empidonax traillii,Aves,Passeriformes,2014,5,28,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
43669,Empidonax traillii,Aves,Passeriformes,2015,5,25,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
43774,Agelaius tricolor,Aves,Passeriformes,2017,4,6,-119.77391,35.13154,18,HUMAN_OBSERVATION,WASH,2010,947.4305,1087,1,2771,5
43787,Buteo swainsoni,Aves,Accipitriformes,2019,6,28,-118.93435,34.951004,250,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,1,2144,6
43809,Melanerpes uropygialis,Aves,Piciformes,2010,2,16,-114.47162,32.878998,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
43938,Empidonax traillii,Aves,Passeriformes,2016,9,3,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
44449,Empidonax traillii,Aves,Passeriformes,2009,6,20,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
44501,Buteo swainsoni,Aves,Accipitriformes,2013,3,24,-117.8139,34.457634,2,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,1,19113,9
44764,Empidonax traillii,Aves,Passeriformes,2016,10,2,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
44943,Empidonax traillii,Aves,Passeriformes,1986,5,6,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
44981,Buteo swainsoni,Aves,Accipitriformes,2018,8,31,-119.39907,34.931927,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
45129,Empidonax traillii,Aves,Passeriformes,2012,5,18,-116.47142,33.09793,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,1,8290,8
45149,Empidonax traillii,Aves,Passeriformes,2016,8,28,-116.5452,34.17208,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,1,21263,7
45370,Empidonax traillii,Aves,Passeriformes,2014,5,12,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
45406,Agelaius tricolor,Aves,Passeriformes,2019,4,18,-119.43887,34.957783,15,HUMAN_OBSERVATION,SODA,2005,449.4977,678,1,2125,6
45406,Agelaius tricolor,Aves,Passeriformes,2019,4,18,-119.43887,34.957783,15,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,1,3096,7
45420,Gymnogyps californianus,Aves,Accipitriformes,2019,3,10,-119.39907,34.931927,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
45609,Buteo swainsoni,Aves,Accipitriformes,1973,2,25,-120.65426,37.186714,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,1,1430,7
45844,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,2,19,-120.675,37.18612,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,1,1430,7
45852,Empidonax traillii,Aves,Passeriformes,2012,5,30,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
45994,Empidonax traillii,Aves,Passeriformes,1993,5,26,-116.45924,33.215355,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,1,27880,8
46127,Empidonax traillii,Aves,Passeriformes,2018,9,23,-116.5452,34.17208,2,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,1,21263,7
46330,Empidonax traillii,Aves,Passeriformes,2014,5,14,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
46418,Melanerpes uropygialis,Aves,Piciformes,2012,5,20,-114.47981,32.87638,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
46559,Empidonax traillii,Aves,Passeriformes,2006,5,23,-116.56938,34.05072,12,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
46560,Gymnogyps californianus,Aves,Accipitriformes,1983,9,10,-119.39907,34.931927,3,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
46730,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,18,-114.52603,34.75041,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,1,2972,4
46740,Buteo swainsoni,Aves,Accipitriformes,2018,3,10,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
46742,Gymnogyps californianus,Aves,Accipitriformes,2016,1,30,-119.39508,34.921055,7,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
47072,Empidonax traillii,Aves,Passeriformes,1999,6,4,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47176,Empidonax traillii,Aves,Passeriformes,2016,8,29,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47198,Empidonax traillii,Aves,Passeriformes,2019,8,22,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47353,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,10,22,-119.39907,34.931927,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
47415,Empidonax traillii,Aves,Passeriformes,2019,5,19,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47435,Buteo swainsoni,Aves,Accipitriformes,2015,4,25,-119.508766,34.893394,1,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,1,1285,NA
47542,Empidonax traillii,Aves,Passeriformes,1985,8,9,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47599,Colaptes chrysoides,Aves,Piciformes,2019,6,17,-115.45903,35.16389,1,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565,1,30414,6
47770,Empidonax traillii,Aves,Passeriformes,1990,5,23,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
47865,Agelaius tricolor,Aves,Passeriformes,2019,4,13,-119.44746,34.96411,35,HUMAN_OBSERVATION,SODA,2005,449.4977,678,1,2125,6
47865,Agelaius tricolor,Aves,Passeriformes,2019,4,13,-119.44746,34.96411,35,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,1,3096,7
48044,Buteo swainsoni,Aves,Accipitriformes,2016,3,23,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
48283,Buteo swainsoni,Aves,Accipitriformes,2005,5,15,-117.8687,34.4571,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,1,19113,9
48370,Empidonax traillii,Aves,Passeriformes,2007,5,29,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
48377,Empidonax traillii,Aves,Passeriformes,1992,5,21,-116.45924,33.215355,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,1,27880,8
48473,Buteo swainsoni,Aves,Accipitriformes,2017,5,18,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
48515,Gymnogyps californianus,Aves,Accipitriformes,2019,3,10,-119.39907,34.931927,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
48531,Gymnogyps californianus,Aves,Accipitriformes,2020,2,25,-119.39625,34.930313,14,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
48591,Agelaius tricolor,Aves,Passeriformes,2006,10,25,-120.02206,35.348957,12,HUMAN_OBSERVATION,BECK,2000,396.3609,926,1,2259,NA
48595,Melanerpes uropygialis,Aves,Piciformes,2013,5,1,-114.469,32.884605,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
48659,Empidonax traillii,Aves,Passeriformes,2014,5,11,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
48723,Empidonax traillii,Aves,Passeriformes,2016,5,16,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
48953,Empidonax traillii,Aves,Passeriformes,1987,9,19,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
49059,Buteo swainsoni,Aves,Accipitriformes,2009,10,10,-116.57267,34.04935,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
49073,Riparia riparia,Aves,Passeriformes,2016,4,26,-116.23586,35.87709,1,HUMAN_OBSERVATION,TECOPA,2017,26.99327,392,1,1205,9
49253,Buteo swainsoni,Aves,Accipitriformes,2020,3,29,-117.913994,34.478046,2,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,1,19113,9
49484,Empidonax traillii,Aves,Passeriformes,2008,6,4,-116.56938,34.05072,4,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
49714,Gymnogyps californianus,Aves,Accipitriformes,1986,8,16,-119.39907,34.931927,3,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
49791,Empidonax traillii,Aves,Passeriformes,1988,8,9,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
49798,Empidonax traillii,Aves,Passeriformes,2014,9,15,-121.048225,37.08216,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,1,3568,8
49798,Empidonax traillii,Aves,Passeriformes,2014,9,15,-121.048225,37.08216,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,1,1916,7
49894,Melanerpes uropygialis,Aves,Piciformes,2014,10,17,-114.469,32.884605,6,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
50122,Empidonax traillii,Aves,Passeriformes,2005,6,29,-116.47142,33.09793,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,1,8290,8
50275,Empidonax traillii,Aves,Passeriformes,2016,5,29,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
50310,Colaptes chrysoides,Aves,Piciformes,2018,10,2,-115.39556,35.042805,1,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565,1,30414,6
50346,Melanerpes uropygialis,Aves,Piciformes,2011,12,31,-114.47162,32.878998,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
50513,Agelaius tricolor,Aves,Passeriformes,2018,4,26,-119.39907,34.931927,400,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
50567,Empidonax traillii,Aves,Passeriformes,1995,6,7,-116.45924,33.215355,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,1,27880,8
50576,Empidonax traillii,Aves,Passeriformes,2006,5,29,-117.8687,34.4571,6,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,1,19113,9
50828,Buteo swainsoni,Aves,Accipitriformes,2018,4,30,-116.56938,34.05072,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
50919,Melanerpes uropygialis,Aves,Piciformes,2012,3,11,-114.469,32.884605,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,1,1408,NA
51338,Gymnogyps californianus,Aves,Accipitriformes,2019,3,6,-119.39907,34.931927,9,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
51556,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,25,-121.28138,37.45279,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,1,25919,10
51594,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,11,29,-121.048225,37.08216,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,1,3568,8
51594,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,11,29,-121.048225,37.08216,2,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,1,1916,7
51690,Gymnogyps californianus,Aves,Accipitriformes,2020,6,16,-119.39596,34.930313,6,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
51729,Gymnogyps californianus,Aves,Accipitriformes,2018,3,9,-119.39508,34.921055,6,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,1,1739,4
51800,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,5,-121.098434,37.08131,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,1,1055,NA
51800,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,5,-121.098434,37.08131,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,1,3568,8
51800,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,5,-121.098434,37.08131,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,1,1916,7
51800,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,5,-121.098434,37.08131,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,1,1303,7
52166,Empidonax traillii,Aves,Passeriformes,2003,5,11,-116.56938,34.05072,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
52375,Empidonax traillii,Aves,Passeriformes,2020,6,6,-116.56938,34.05072,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,1,6825,6
52946,Agelaius tricolor,Aves,Passeriformes,2017,3,18,-119.44222,34.958794,6,HUMAN_OBSERVATION,SODA,2005,449.4977,678,1,2125,6
