Calochortus dunnii,Dunn's mariposa-lily,SR,197911XX,,,
Calochortus persistens,Siskiyou mariposa-lily,SR,198207XX,,,FC on 20040504; removed from FC list on 20151008.
Calochortus tiburonensis,Tiburon mariposa-lily,ST,198705XX,FT,19950203,
Calyptridium pulchellum,Mariposa pussypaws,,,FT,19981014,
Calystegia stebbinsii,Stebbins' morning-glory,SE,198108XX,FE,19961018,
Camissonia benitensis,San Benito evening- primrose,,,FT,19850212,
Carex albida,white sedge,SE,197911XX,FE,19971022,"Current taxonomic treatment considers Carex albida as a synonym of Carex lemmonii, a common taxon. No longer tracked by CNDDB."
Carex tompkinsii,Tompkins' sedge,SR,197911XX,,,
Carpenteria californica,tree-anemone,ST,199001XX,,,
Castilleja affinis var. neglecta,Tiburon paintbrush,ST,199001XX,FE,19950203,"Scientific name at time of listing:
Castilleja affinis ssp. neglecta"
"Castilleja campestris var.
succulenta",succulent owl's-clover,SE,197909XX,FT,19970326,"Scientific name at time of listing:
Castilleja campestris ssp. succulenta"
Castilleja cinerea,ash-gray paintbrush,,,FT,19981014,
Castilleja gleasoni,Mt. Gleason paintbrush,SR,198207XX,,,
Castilleja grisea,San Clemente Island paintbrush,SE,198204XX,"FT
FE","20130726
19770912",
Castilleja mollis,soft-leaved paintbrush,,,FE,19970731,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Castilleja uliginosa,Pitkin Marsh paintbrush,SE,197811XX,,,
Caulanthus californicus,California jewel-flower,SE,198701XX,FE,19900719,
Caulanthus stenocarpus,slender-pod jewel-flower,"Delisted
SR","200804XX
197911XX",,,"Current taxonomic treatment considers Caulanthus stenocarpus as a synonym of Caulanthus heterophyllus, a common taxon."
Ceanothus ferrisiae,Coyote ceanothus,,,FE,19950203,"Scientific name at time of listing:
Ceanothus ferrisae"
Ceanothus hearstiorum,Hearsts' ceanothus,SR,198108XX,,,
Ceanothus maritimus,maritime ceanothus,SR,197811XX,,,
Ceanothus masonii,Mason's ceanothus,SR,197811XX,,,
Ceanothus ophiochilus,Vail Lake ceanothus,SE,199401XX,FT,19981013,
Ceanothus roderickii,Pine Hill ceanothus,SR,198207XX,FE,19961018,
Cercocarpus traskiae,Catalina Island mountain- mahogany,SE,198204XX,FE,19970808,
"Chlorogalum purpureum var.
purpureum",Santa Lucia purple amole,,,FT,20000320,"USFWS listed the entire species,
Chlorogalum purpureum."
"Chlorogalum purpureum var.
reductum",Camatta Canyon amole,SR,197811XX,FT,20000320,"USFWS listed the entire species,
Chlorogalum purpureum."
"Chloropyron maritimum ssp.
maritimum",salt marsh bird's-beak,SE,197907XX,FE,19781029,Scientific name at time of listing: Cordylanthus maritimus ssp. maritimus
Chloropyron molle ssp. molle,soft bird's-beak,SR,197907XX,FE,19971120,Scientific name at time of listing: Cordylanthus mollis ssp. mollis. Synonym: soft salty bird's-beak.
Chloropyron palmatum,palmate-bracted bird's- beak,SE,198405XX,FE,19860701,Scientific name at time of listing: Cordylanthus palmatus. Synonym: palmate salty bird's-beak.
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Chorizanthe howellii,Howell's spineflower,ST,198701XX,FE,19920622,
Chorizanthe orcuttiana,Orcutt's spineflower,SE,197911XX,FE,19961007,
"Chorizanthe parryi var.
fernandina",San Fernando Valley spineflower,SE,200108XX,,,"FC on 20040504, reclassified as FPT on 20160915, Proposed Rule withdrawn on 20180315."
"Chorizanthe pungens var.
hartwegiana",Ben Lomond spineflower,,,FE,19940204,
"Chorizanthe pungens var.
pungens",Monterey spineflower,,,FT,19940204,
"Chorizanthe robusta var.
hartwegii",Scotts Valley spineflower,,,FE,19940204,
"Chorizanthe robusta var.
robusta",robust spineflower,,,FE,19940204,
Chorizanthe valida,Sonoma spineflower,SE,199001XX,FE,19920622,
Cirsium ciliolatum,Ashland thistle,SE,198209XX,,,
"Cirsium fontinale var.
fontinale",fountain thistle,SE,197907XX,FE,19950203,"Synonym: Crystal Springs fountain
thistle"
"Cirsium fontinale var.
obispoense",Chorro Creek bog thistle,SE,199306XX,FE,19941215,Synonym: San Luis Obispo fountain thistle
"Cirsium hydrophilum var.
hydrophilum",Suisun thistle,,,FE,19971120,
Cirsium rhothophilum,surf thistle,ST,199002XX,,,
"Cirsium scariosum var.
loncholepis",La Graciosa thistle,ST,199002XX,FE,20000320,"Scientific name at time of listing:
Cirsium loncholepis"
Clarkia franciscana,Presidio clarkia,SE,197811XX,FE,19950203,
Clarkia imbricata,Vine Hill clarkia,SE,197811XX,FE,19971022,
Clarkia lingulata,Merced clarkia,SE,198701XX,,,
"Clarkia speciosa ssp.
immaculata",Pismo clarkia,SR,197811XX,FE,19941215,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Clarkia springvillensis,Springville clarkia,SE,197909XX,FT,19981014,
Cordylanthus nidularius,Mt. Diablo bird's-beak,SR,197811XX,,,
"Cordylanthus rigidus ssp.
littoralis",seaside bird's-beak,SE,19820117,,,
"Cordylanthus tenuis ssp.
capillaris",Pennell's bird's-beak,SR,197811XX,FE,19950203,
Croton wigginsii,Wiggins' croton,SR,198201XX,,,
Cryptantha roosiorum,bristlecone cryptantha,SR,198207XX,,,
Dedeckera eurekensis,July gold,SR,197811XX,,,
Deinandra arida,Red Rock tarplant,SR,198207XX,,,"Scientific name at time of listing:
Hemizonia arida"
Deinandra bacigalupii,Livermore tarplant,SE,20171001,,,
Deinandra conjugens,Otay tarplant,SE,197911XX,FT,19981013,"Scientific name at time of listing:
Hemizonia conjugens"
"Deinandra increscens ssp.
villosa",Gaviota tarplant,SE,199001XX,FE,20000320,"Scientific name at time of listing:
Hemizonia increscens ssp. villosa"
Deinandra minthornii,Santa Susana tarplant,SR,197811XX,,,"Scientific name at time of listing:
Hemizonia minthornii"
Deinandra mohavensis,Mojave tarplant,SE,19820117,,,"Scientific name at time of listing:
Hemizonia mohavensis"
Delphinium bakeri,Baker's larkspur,SE,200704XX,FE,20000126,
"Delphinium hesperium ssp.
cuyamacae",Cuyamaca larkspur,SR,198207XX,,,
Delphinium luteum,golden larkspur,SR,197909XX,FE,20000126,
"Delphinium variegatum ssp.
kinkiense",San Clemente Island larkspur,SE,197909XX,FE,19770912,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
"Dieteria asteroides var.
lagunensis",Mount Laguna aster,SR,197909XX,,,Scientific name at time of listing: Machaeranthera asteroides var. lagunensis
Diplacus vandenbergensis,Vandenberg monkeyflower,,,FE,20140925,Scientific name when proposed as a Federal Candidate: Mimulus fremontii var. vandenbergensis
Dithyrea maritima,beach spectaclepod,ST,199002XX,,,
Dodecahema leptoceras,"slender-horned
spineflower",SE,198201XX,FE,19870928,
"Downingia concolor var.
brevior","Cuyamaca Lake
downingia",SE,198202XX,,,
