County,FIPS,MapDate,DSCI
Fresno County,6019,20030722,26
Fresno County,6019,20030729,23
Fresno County,6019,20030805,24
Fresno County,6019,20030812,24
Fresno County,6019,20030819,18
Fresno County,6019,20030826,20
Fresno County,6019,20030902,31
Fresno County,6019,20030909,24
Fresno County,6019,20030916,25
Fresno County,6019,20030923,25
Fresno County,6019,20030930,22
Fresno County,6019,20031007,22
Fresno County,6019,20031014,100
Fresno County,6019,20031021,101
Fresno County,6019,20031028,168
Fresno County,6019,20031104,123
Fresno County,6019,20031111,31
Fresno County,6019,20031118,39
Fresno County,6019,20031125,27
Fresno County,6019,20031202,33
Fresno County,6019,20031209,33
Fresno County,6019,20031216,38
Fresno County,6019,20031223,40
Fresno County,6019,20031230,1
Fresno County,6019,20040106,0
Fresno County,6019,20040113,3
Fresno County,6019,20040120,0
Fresno County,6019,20040127,0
Fresno County,6019,20040203,0
Fresno County,6019,20040210,0
Fresno County,6019,20040217,0
Fresno County,6019,20040224,0
Fresno County,6019,20040302,0
Fresno County,6019,20040309,0
Fresno County,6019,20040316,0
Fresno County,6019,20040323,0
Fresno County,6019,20040330,0
Fresno County,6019,20040406,0
Fresno County,6019,20040413,100
Fresno County,6019,20040420,100
Fresno County,6019,20040427,100
Fresno County,6019,20040504,102
Fresno County,6019,20040511,102
Fresno County,6019,20040518,102
Fresno County,6019,20040525,119
Fresno County,6019,20040601,128
Fresno County,6019,20040608,128
Fresno County,6019,20040615,128
Fresno County,6019,20040622,129
Fresno County,6019,20040629,129
Fresno County,6019,20040706,129
Fresno County,6019,20040713,129
Fresno County,6019,20040720,129
Fresno County,6019,20040727,129
Fresno County,6019,20040803,129
Fresno County,6019,20040810,129
Fresno County,6019,20040817,129
Fresno County,6019,20040824,129
Fresno County,6019,20040831,129
Fresno County,6019,20040907,129
Fresno County,6019,20040914,127
Fresno County,6019,20040921,127
Fresno County,6019,20040928,127
Fresno County,6019,20041005,127
Fresno County,6019,20041012,127
Fresno County,6019,20041019,127
Fresno County,6019,20041026,98
Fresno County,6019,20041102,99
Fresno County,6019,20041109,99
Fresno County,6019,20041116,99
Fresno County,6019,20041123,99
Fresno County,6019,20041130,98
Fresno County,6019,20041207,100
Fresno County,6019,20041214,100
Fresno County,6019,20041221,100
Fresno County,6019,20041228,85
Fresno County,6019,20050104,5
Fresno County,6019,20050111,0
Fresno County,6019,20050118,0
Fresno County,6019,20050125,0
Fresno County,6019,20050201,0
Fresno County,6019,20050208,0
Fresno County,6019,20050215,0
Fresno County,6019,20050222,0
Fresno County,6019,20050301,0
Fresno County,6019,20050308,0
Fresno County,6019,20050315,0
Fresno County,6019,20050322,0
Fresno County,6019,20050329,0
Fresno County,6019,20050405,0
Fresno County,6019,20050412,0
Fresno County,6019,20050419,0
Fresno County,6019,20050426,0
Fresno County,6019,20050503,0
Fresno County,6019,20050510,0
Fresno County,6019,20050517,0
Fresno County,6019,20050524,0
Fresno County,6019,20050531,0
Fresno County,6019,20050607,0
Fresno County,6019,20050614,0
Fresno County,6019,20050621,0
Fresno County,6019,20050628,0
Fresno County,6019,20050705,0
Fresno County,6019,20050712,0
Fresno County,6019,20050719,0
Fresno County,6019,20050726,0
Fresno County,6019,20050802,0
Fresno County,6019,20050809,0
Fresno County,6019,20050816,0
Fresno County,6019,20050823,0
Fresno County,6019,20050830,0
Fresno County,6019,20050906,0
Fresno County,6019,20050913,0
Fresno County,6019,20050920,0
Fresno County,6019,20050927,0
Fresno County,6019,20051004,0
Fresno County,6019,20051011,0
Fresno County,6019,20051018,0
Fresno County,6019,20051025,0
Fresno County,6019,20051101,0
Fresno County,6019,20051108,0
Fresno County,6019,20051115,0
Fresno County,6019,20051122,0
Fresno County,6019,20051129,100
Fresno County,6019,20051206,62
Fresno County,6019,20051213,62
Fresno County,6019,20051220,42
Fresno County,6019,20051227,42
Fresno County,6019,20060103,0
Fresno County,6019,20060110,0
Fresno County,6019,20060117,0
Fresno County,6019,20060124,0
Fresno County,6019,20060131,0
Fresno County,6019,20060207,0
Fresno County,6019,20060214,0
Fresno County,6019,20060221,0
Fresno County,6019,20060228,75
Fresno County,6019,20060307,75
Fresno County,6019,20060314,61
Fresno County,6019,20060321,61
Fresno County,6019,20060328,0
Fresno County,6019,20060404,0
Fresno County,6019,20060411,0
Fresno County,6019,20060418,0
Fresno County,6019,20060425,0
Fresno County,6019,20060502,0
Fresno County,6019,20060509,0
Fresno County,6019,20060516,0
Fresno County,6019,20060523,0
Fresno County,6019,20060530,0
Fresno County,6019,20060606,0
Fresno County,6019,20060613,0
Fresno County,6019,20060620,0
Fresno County,6019,20060627,0
Fresno County,6019,20060704,0
Fresno County,6019,20060711,0
Fresno County,6019,20060718,0
Fresno County,6019,20060725,0
Fresno County,6019,20060801,0
Fresno County,6019,20060808,0
Fresno County,6019,20060815,0
Fresno County,6019,20060822,0
Fresno County,6019,20060829,0
Fresno County,6019,20060905,0
Fresno County,6019,20060912,0
Fresno County,6019,20060919,0
Fresno County,6019,20060926,0
Fresno County,6019,20061003,0
Fresno County,6019,20061010,0
Fresno County,6019,20061017,0
Fresno County,6019,20061024,0
Fresno County,6019,20061031,0
