FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
11094,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,3,19,-116.586556,33.73814,0,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,2000,5702
11409,Melanerpes uropygialis,Aves,Piciformes,2018,2,1,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
12188,Gambelia sila,Reptilia,Squamata,2021,4,25,-119.611915,35.045236,0,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,2000,5370
12287,Melanerpes uropygialis,Aves,Piciformes,2012,11,12,-114.55578,32.78925,5,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,2000,5166
12323,Agelaius tricolor,Aves,Passeriformes,2008,4,22,-121.03088,37.08312,0,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12326,Empidonax traillii,Aves,Passeriformes,2019,6,3,-117.840546,34.47288,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
12433,Melanerpes uropygialis,Aves,Piciformes,2018,12,17,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
12450,Buteo swainsoni,Aves,Accipitriformes,2011,4,6,-121.024,37.08,6,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12476,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
12523,Agelaius tricolor,Aves,Passeriformes,2014,5,24,-118.38001,34.69632,4,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
12731,Agelaius tricolor,Aves,Passeriformes,2006,4,18,-121.0207,37.080807,0,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12823,Melanerpes uropygialis,Aves,Piciformes,2014,12,11,-114.47886,32.902916,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
12878,Buteo swainsoni,Aves,Accipitriformes,2018,4,7,-117.84601,34.471138,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
12984,Riparia riparia,Aves,Passeriformes,2015,7,14,-114.535,34.76573,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
13783,Rana draytonii,Amphibia,Anura,2017,12,14,-116.604435,33.819491,0,HUMAN_OBSERVATION,TRAM,2013,59.22004,531,2000,1644
18164,Agelaius tricolor,Aves,Passeriformes,2016,3,26,-119.43546,34.95564,200,HUMAN_OBSERVATION,SODA,2005,449.4977,678,2000,3409
18164,Agelaius tricolor,Aves,Passeriformes,2016,3,26,-119.43546,34.95564,200,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,2000,4610
18282,Melanerpes uropygialis,Aves,Piciformes,2013,3,16,-114.48498,34.736954,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
18549,Buteo swainsoni,Aves,Accipitriformes,2018,4,1,-118.39457,34.72747,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
18775,Agelaius tricolor,Aves,Passeriformes,2013,3,17,-118.58134,34.780354,19,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,2000,3533
18827,Melanerpes uropygialis,Aves,Piciformes,2018,12,24,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
18982,Melanerpes uropygialis,Aves,Piciformes,2007,12,27,-114.699585,32.736607,0,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
19085,Agelaius tricolor,Aves,Passeriformes,2010,2,14,-120.03971,35.353077,100,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
42882,Empidonax traillii,Aves,Passeriformes,2018,5,14,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
42887,Agelaius tricolor,Aves,Passeriformes,2008,5,2,-121.03088,37.08312,0,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
43411,Gymnogyps californianus,Aves,Accipitriformes,2013,12,18,-119.38917,34.91955,12,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
43438,Agelaius tricolor,Aves,Passeriformes,2016,5,22,-117.84601,34.471138,8,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
43532,Melanerpes uropygialis,Aves,Piciformes,2020,1,16,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
43585,Melanerpes uropygialis,Aves,Piciformes,2011,5,26,-114.50981,34.75064,3,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
43740,Melanerpes uropygialis,Aves,Piciformes,1973,12,18,-114.46656,32.88192,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44332,Buteo swainsoni,Aves,Accipitriformes,2008,5,14,-121.03088,37.08312,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
44633,Melanerpes uropygialis,Aves,Piciformes,2011,10,8,-114.48818,32.864304,3,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44813,Melanerpes uropygialis,Aves,Piciformes,2016,5,14,-114.535,34.76573,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
44928,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,1,12,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44956,Melanerpes uropygialis,Aves,Piciformes,1975,3,26,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44998,Empidonax traillii,Aves,Passeriformes,2013,5,26,-120.03971,35.353077,2,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
45023,Melanerpes uropygialis,Aves,Piciformes,2011,5,26,-114.50981,34.75064,3,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
