obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,FID_,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
7896,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,8,9,-116.587963,33.74233,NA,HUMAN_OBSERVATION,96,MOUNTAIN,2013,27523.67,331,1000,4308
8041,Danaus plexippus,Insecta,Lepidoptera,2020,2,15,-115.826805,33.510452,NA,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
8743,Empidonax traillii,Aves,Passeriformes,2020,5,23,-115.83078,33.499706,1,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
8751,Gymnogyps californianus,Aves,Accipitriformes,2019,6,14,-119.39907,34.931927,3,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
8784,Empidonax traillii,Aves,Passeriformes,2012,5,26,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
8788,Empidonax traillii,Aves,Passeriformes,2019,5,23,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
8852,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,9,13,-121.048225,37.08216,1,HUMAN_OBSERVATION,305,ROMERO,2000,1706.85,873,1000,3568
8852,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,9,13,-121.048225,37.08216,1,HUMAN_OBSERVATION,330,ROMERO,2008,766.0438,938,1000,1916
8893,Haliaeetus leucocephalus,Aves,Accipitriformes,2006,5,6,-121.28138,37.45279,NA,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
10500,Empidonax traillii,Aves,Passeriformes,2013,10,2,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
10535,Buteo swainsoni,Aves,Accipitriformes,2015,4,11,-115.5893,35.3669,1,HUMAN_OBSERVATION,496,DOME,2020,44211.0845875,1109,1000,17321
10753,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,5,31,-116.570093,33.714287,NA,HUMAN_OBSERVATION,96,MOUNTAIN,2013,27523.67,331,1000,4308
10845,Gymnogyps californianus,Aves,Accipitriformes,2017,4,15,-119.39907,34.931927,5,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
11125,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2012,6,10,-116.419091,33.289061,NA,HUMAN_OBSERVATION,79,EAGLE,2011,13992.99,314,1000,10110
11460,Puma concolor,Mammalia,Carnivora,2020,10,10,-116.476219,33.099855,NA,HUMAN_OBSERVATION,180,STEWART,2012,10630.18,417,1000,8290
11689,Puma concolor,Mammalia,Carnivora,2021,2,2,-116.437045,33.06807,NA,HUMAN_OBSERVATION,94,BANNER FIRE,2012,5320.116,329,1000,7663
12009,Buteo swainsoni,Aves,Accipitriformes,2019,4,24,-116.574566,34.048987,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
12394,Agelaius tricolor,Aves,Passeriformes,2015,3,10,-119.40985,34.922256,75,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
12570,Buteo swainsoni,Aves,Accipitriformes,2018,4,21,-118.36158,34.67615,2,HUMAN_OBSERVATION,181,POWERHOUSE,2013,30267.57,418,1000,9729
12626,Agelaius tricolor,Aves,Passeriformes,2020,1,12,-120.02301,35.347034,15,HUMAN_OBSERVATION,318,BECK,2000,396.3609,926,1000,2259
12928,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,15,-117.83584,34.439335,1,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
13174,Melanerpes uropygialis,Aves,Piciformes,2013,5,23,-114.51835,34.747265,1,HUMAN_OBSERVATION,121,TOPOCK,2016,2228.4,358,1000,2972
13296,Empidonax traillii,Aves,Passeriformes,2008,8,16,-115.83078,33.499706,NA,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
13460,Buteo swainsoni,Aves,Accipitriformes,2018,4,12,-118.36158,34.67615,2,HUMAN_OBSERVATION,181,POWERHOUSE,2013,30267.57,418,1000,9729
13487,Melanerpes uropygialis,Aves,Piciformes,1981,9,14,-114.47981,32.87638,3,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
13604,Agelaius tricolor,Aves,Passeriformes,2016,4,2,-119.4465,34.9636,NA,HUMAN_OBSERVATION,256,SODA,2005,449.4977,678,1000,2125
13604,Agelaius tricolor,Aves,Passeriformes,2016,4,2,-119.4465,34.9636,NA,HUMAN_OBSERVATION,413,HUDSON,2017,1182.301,1021,1000,3096
13875,Puma concolor,Mammalia,Carnivora,2017,10,11,-116.46481,33.09662,NA,HUMAN_OBSERVATION,180,STEWART,2012,10630.18,417,1000,8290
13886,Rana muscosa,Amphibia,Anura,2018,6,2,-116.617482,33.826714,NA,HUMAN_OBSERVATION,216,TRAM,2013,59.22004,531,1000,1167
18133,Melanerpes uropygialis,Aves,Piciformes,1991,3,27,-114.470245,32.88413,2,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
18197,Empidonax traillii,Aves,Passeriformes,2013,9,25,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
18320,Melanerpes uropygialis,Aves,Piciformes,2012,1,11,-114.469,32.884605,NA,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
18539,Empidonax traillii,Aves,Passeriformes,2000,5,20,-116.56938,34.05072,5,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
18586,Buteo swainsoni,Aves,Accipitriformes,2020,4,11,-121.05777,37.058636,1,HUMAN_OBSERVATION,321,BASALT,2004,410.184,929,1000,2879
18642,Melanerpes uropygialis,Aves,Piciformes,2018,4,24,-114.469,32.884605,4,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
18678,Empidonax traillii,Aves,Passeriformes,2018,9,2,-115.83078,33.499706,1,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
18980,Gymnogyps californianus,Aves,Accipitriformes,2014,1,11,-119.39508,34.921055,12,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
19029,Empidonax traillii,Aves,Passeriformes,1998,5,31,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
42914,Buteo swainsoni,Aves,Accipitriformes,2019,8,19,-119.39907,34.931927,1,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
42950,Gymnogyps californianus,Aves,Accipitriformes,2014,1,11,-119.39508,34.921055,12,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
42985,Riparia riparia,Aves,Passeriformes,2019,4,25,-120.675,37.18612,1,HUMAN_OBSERVATION,494,SANDY,2016,0,1107,1000,1430
43028,Empidonax traillii,Aves,Passeriformes,2011,9,5,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
43092,Empidonax traillii,Aves,Passeriformes,1986,8,31,-116.56938,34.05072,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
43111,Haliaeetus leucocephalus,Aves,Accipitriformes,1973,2,4,-120.65426,37.186714,1,HUMAN_OBSERVATION,494,SANDY,2016,0,1107,1000,1430
43177,Gymnogyps californianus,Aves,Accipitriformes,2017,5,3,-119.39907,34.931927,2,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
43202,Empidonax traillii,Aves,Passeriformes,1993,5,15,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
43354,Melanerpes uropygialis,Aves,Piciformes,2013,7,12,-114.47981,32.87638,1,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
43374,Empidonax traillii,Aves,Passeriformes,2014,5,28,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
43669,Empidonax traillii,Aves,Passeriformes,2015,5,25,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
43774,Agelaius tricolor,Aves,Passeriformes,2017,4,6,-119.77391,35.13154,18,HUMAN_OBSERVATION,479,WASH,2010,947.4305,1087,1000,2771
