FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
348,Empidonax traillii,Aves,Passeriformes,2015,5,26,-121.21103,37.48008,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,5000,68965
358,Agelaius tricolor,Aves,Passeriformes,2017,2,15,-120.62203,37.167942,530,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
384,Melanerpes uropygialis,Aves,Piciformes,2017,11,1,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
484,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,1,10,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
491,Buteo swainsoni,Aves,Accipitriformes,2011,3,20,-120.60976,37.168064,4,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
498,Empidonax traillii,Aves,Passeriformes,2017,5,17,-118.05599,36.562325,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,5000,14127
516,Melanerpes uropygialis,Aves,Piciformes,2011,11,22,-114.56045,34.78898,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,5000,16707
540,Melanerpes uropygialis,Aves,Piciformes,2020,3,18,-114.61373,32.72753,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
549,Agelaius tricolor,Aves,Passeriformes,1981,2,7,-120.89854,36.630684,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
573,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,15,-120.62001,37.182293,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
640,Melanerpes uropygialis,Aves,Piciformes,2018,10,21,-114.68413,32.699966,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,5000,14318
659,Gymnogyps californianus,Aves,Accipitriformes,2015,4,27,-119.37666,34.90416,2,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
685,Empidonax traillii,Aves,Passeriformes,2002,6,19,-114.45021,32.85585,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,5000,13635
810,Puma concolor,Mammalia,Carnivora,2020,9,11,-116.602976,33.12018,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
993,Buteo swainsoni,Aves,Accipitriformes,2018,3,26,-116.389718,33.252542,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
1291,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,3,10,-116.417604,33.369623,0,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,5000,16210
1320,Puma concolor,Mammalia,Carnivora,2020,12,3,-116.421742,33.369048,0,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,5000,16210
1418,Buteo swainsoni,Aves,Accipitriformes,2020,3,28,-116.387596,33.13865,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,5000,7796
1430,Melanerpes uropygialis,Aves,Piciformes,2016,1,16,-114.61296,32.72587,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1475,Riparia riparia,Aves,Passeriformes,2017,4,29,-118.05599,36.562325,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,5000,14127
1493,Melanerpes uropygialis,Aves,Piciformes,2014,6,4,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1537,Melanerpes uropygialis,Aves,Piciformes,2012,3,30,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1617,Melanerpes uropygialis,Aves,Piciformes,2015,12,30,-114.61296,32.72587,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1702,Gymnogyps californianus,Aves,Accipitriformes,1983,8,7,-119.36289,34.89532,8,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
1805,Buteo swainsoni,Aves,Accipitriformes,2020,4,27,-120.62203,37.167942,3,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
1819,Melanerpes uropygialis,Aves,Piciformes,2018,12,8,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1834,Empidonax traillii,Aves,Passeriformes,2012,5,26,-116.19454,35.800976,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,5000,11370
1887,Melanerpes uropygialis,Aves,Piciformes,2016,1,18,-114.61296,32.72587,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1985,Melanerpes uropygialis,Aves,Piciformes,2016,5,18,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
2274,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2007,4,22,-116.561361,33.340466,0,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,5000,16210
2274,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2007,4,22,-116.561361,33.340466,0,HUMAN_OBSERVATION,COYOTE,2003,18704.78,506,5000,17478
2353,Pelecanus occidentalis californicus,Aves,Pelecaniformes,2014,6,1,-115.801842,33.540155,0,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,5000,16175
2354,Buteo swainsoni,Aves,Accipitriformes,2021,4,4,-120.620233,37.184364,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
2487,Uma inornata,Reptilia,Squamata,2020,2,21,-116.549025,33.84799,0,HUMAN_OBSERVATION,WINDY POINT,2011,541.494,410,5000,7519
2683,Rana muscosa,Amphibia,Anura,2003,8,26,-117.827443,34.380207,0,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,5000,35447
2759,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,7,27,-116.51893,33.701038,0,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,5000,19020
