FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
364,Buteo swainsoni,Aves,Accipitriformes,2012,4,21,-118.010216,36.574165,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,3000,11501
559,Buteo swainsoni,Aves,Accipitriformes,2017,4,29,-118.06777,36.608414,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,3000,11501
784,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,2,15,-118.92411,34.940903,1,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,3000,11054
1368,Agelaius tricolor,Aves,Passeriformes,2001,3,11,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
1422,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,1,22,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
1471,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,1,20,-117.33202,34.282986,1,HUMAN_OBSERVATION,OLD,2003,91428,512,3000,26516
1656,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,2,4,-117.33152,34.281723,1,HUMAN_OBSERVATION,OLD,2003,91428,512,3000,26516
1678,Agelaius tricolor,Aves,Passeriformes,2009,2,21,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
2096,Anaxyrus californicus,Amphibia,Anura,2019,7,17,-116.489611,32.97121,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,3000,87998
2247,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2016,12,28,-116.555993,33.69092,0,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,3000,17215
3342,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,26,-116.588506,33.974042,0,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,3000,10031
3620,Agelaius tricolor,Aves,Passeriformes,2017,4,28,-119.42401,34.951054,20,HUMAN_OBSERVATION,SODA,2005,449.4977,678,3000,12434
3620,Agelaius tricolor,Aves,Passeriformes,2017,4,28,-119.42401,34.951054,20,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,3000,13891
3620,Agelaius tricolor,Aves,Passeriformes,2017,4,28,-119.42401,34.951054,20,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,3000,9824
3643,Agelaius tricolor,Aves,Passeriformes,2020,1,15,-120.626495,37.17769,2,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
3652,Riparia riparia,Aves,Passeriformes,1985,6,1,-118.90213,35.516823,1,HUMAN_OBSERVATION,REED,2011,5899.568,968,3000,21154
3683,Buteo swainsoni,Aves,Accipitriformes,2020,8,27,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
3695,Agelaius tricolor,Aves,Passeriformes,2015,2,16,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
3830,Gymnogyps californianus,Aves,Accipitriformes,2019,4,6,-119.463949,34.985531,0,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,3000,13891
4558,Empidonax traillii,Aves,Passeriformes,2018,6,5,-114.46269,32.859646,5,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,3000,8834
4684,Melanerpes uropygialis,Aves,Piciformes,2014,8,27,-114.53818,34.77495,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,3000,13501
4795,Haliaeetus leucocephalus,Aves,Accipitriformes,2008,2,16,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
4849,Buteo swainsoni,Aves,Accipitriformes,2014,5,16,-119.50825,34.941113,1,HUMAN_OBSERVATION,SODA,2005,449.4977,678,3000,12434
4849,Buteo swainsoni,Aves,Accipitriformes,2014,5,16,-119.50825,34.941113,1,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,3000,13891
4897,Melanerpes uropygialis,Aves,Piciformes,2009,1,16,-114.48024,32.906742,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,3000,8834
4952,Melanerpes uropygialis,Aves,Piciformes,2010,12,12,-114.5646,32.79684,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,3000,15496
4989,Haliaeetus leucocephalus,Aves,Accipitriformes,2002,2,23,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
5086,Agelaius tricolor,Aves,Passeriformes,2019,3,11,-120.626495,37.17769,300,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
5186,Agelaius tricolor,Aves,Passeriformes,2015,4,24,-118.576126,34.800835,0,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,3000,10614
5364,Empidonax traillii,Aves,Passeriformes,2018,9,14,-116.53558,33.98466,2,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,3000,10031
5375,Buteo swainsoni,Aves,Accipitriformes,2006,2,18,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
5518,Haliaeetus leucocephalus,Aves,Accipitriformes,2005,2,26,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
5640,Empidonax traillii,Aves,Passeriformes,2020,5,13,-116.391075,33.285103,4,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,3000,31037
5833,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,2,13,-118.40223,34.666607,1,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,3000,31162
5908,Gopherus agassizii,Reptilia,Testudines,2018,4,4,-116.532307,34.021959,0,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,3000,22997
5908,Gopherus agassizii,Reptilia,Testudines,2018,4,4,-116.532307,34.021959,0,HUMAN_OBSERVATION,MATZ,2017,14.05731,383,3000,6301
6245,Agelaius tricolor,Aves,Passeriformes,2015,3,11,-118.57543,34.799496,0,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,3000,10614
6252,Gymnogyps californianus,Aves,Accipitriformes,2018,1,11,-119.37789,34.90866,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,3000,9824
6295,Agelaius tricolor,Aves,Passeriformes,2002,5,17,-119.51317,34.918777,0,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,3000,8510
6365,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,1,3,-114.46286,32.8607,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,3000,8834
6367,Riparia riparia,Aves,Passeriformes,2018,5,3,-114.47018,32.861427,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,3000,8834
6408,Agelaius tricolor,Aves,Passeriformes,2015,3,7,-119.60883,35.05841,1,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,3000,16412
6443,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,11,5,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
6996,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,12,19,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
7575,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,8,31,-116.590773,33.976434,0,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,3000,10031
7631,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2021,1,10,-116.599741,33.983901,0,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,3000,10031
7967,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,7,6,-116.472677,33.391121,0,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,3000,31037
7988,Buteo swainsoni,Aves,Accipitriformes,2019,7,14,-118.924934,34.939408,0,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,3000,11054
8094,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2015,4,1,-116.508203,33.276965,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,3000,87998
8094,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2015,4,1,-116.508203,33.276965,0,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,3000,31037
8827,Agelaius tricolor,Aves,Passeriformes,2020,2,27,-120.626495,37.17769,8,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
8880,Agelaius tricolor,Aves,Passeriformes,2016,11,5,-120.626495,37.17769,25,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
8960,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,10,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
9038,Gymnogyps californianus,Aves,Accipitriformes,2013,2,18,-119.41988,34.949448,2,HUMAN_OBSERVATION,SODA,2005,449.4977,678,3000,12434
9038,Gymnogyps californianus,Aves,Accipitriformes,2013,2,18,-119.41988,34.949448,2,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,3000,13891
9038,Gymnogyps californianus,Aves,Accipitriformes,2013,2,18,-119.41988,34.949448,2,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,3000,9824
10668,Buteo swainsoni,Aves,Accipitriformes,2016,9,23,-120.626495,37.17769,2,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
11303,Buteo swainsoni,Aves,Accipitriformes,2020,3,18,-120.626495,37.17769,5,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
11719,Anaxyrus californicus,Amphibia,Anura,2019,7,11,-117.210946,34.343983,0,HUMAN_OBSERVATION,PILOT,2016,8110.823,409,3000,14981
11773,Buteo swainsoni,Aves,Accipitriformes,2016,9,13,-120.626495,37.17769,5,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
11869,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,11,11,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
11925,Haliaeetus leucocephalus,Aves,Accipitriformes,2010,12,28,-114.48295,34.721085,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,3000,13501
12019,Agelaius tricolor,Aves,Passeriformes,2014,5,29,-121.383417,37.540178,0,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,3000,92221
12083,Empidonax traillii,Aves,Passeriformes,2016,5,28,-121.238732,37.473993,0,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,3000,92221
12285,Agelaius tricolor,Aves,Passeriformes,2015,11,6,-120.62274,37.177197,5,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
12541,Agelaius tricolor,Aves,Passeriformes,2015,3,18,-118.576126,34.800835,700,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,3000,10614
12579,Buteo swainsoni,Aves,Accipitriformes,2017,5,20,-120.626495,37.17769,8,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
12714,Buteo swainsoni,Aves,Accipitriformes,2018,4,27,-119.60883,35.05841,1,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,3000,16412
12750,Haliaeetus leucocephalus,Aves,Accipitriformes,1999,12,11,-120.626495,37.17769,0,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
12767,Agelaius tricolor,Aves,Passeriformes,2019,2,4,-120.626495,37.17769,100,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
12791,Agelaius tricolor,Aves,Passeriformes,2015,6,26,-118.576126,34.800835,75,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,3000,10614
12925,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,5,4,-121.22996,37.47505,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,3000,92221
13008,Empidonax traillii,Aves,Passeriformes,2020,5,19,-116.391075,33.285103,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,3000,31037
13050,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,1,3,-114.46286,32.8607,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,3000,8834
13101,Agelaius tricolor,Aves,Passeriformes,2018,2,17,-120.626495,37.17769,60,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
13134,Agelaius tricolor,Aves,Passeriformes,2017,11,17,-120.626495,37.17769,200,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
13201,Agelaius tricolor,Aves,Passeriformes,2003,5,10,-121.0625,37.043,1000,HUMAN_OBSERVATION,BASALT,2004,410.184,929,3000,12462
13240,Agelaius tricolor,Aves,Passeriformes,2019,2,1,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
13335,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,11,18,-120.626495,37.17769,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,3000,8906
13352,Agelaius tricolor,Aves,Passeriformes,2011,4,17,-118.576126,34.800835,65,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,3000,10614
