fireID,firename,fireyear,firesize,buffSize_km,buffArea_acres,n_observations
1021,HUDSON,2017,1182.301,2000,4610,8
1086,SODA,2016,2000.281,2000,5370,9
1087,WASH,2010,947.4305,2000,4265,3
1092,COTTON,2010,2037.958,2000,5508,4
1094,SCHOOL,2014,223.7788,2000,3267,40
1107,SANDY,2016,0,2000,2962,7
1108,LAKE,2020,30999.2885572,2000,3437,1
1109,DOME,2020,44211.0845875,2000,17466,35
1110,BOBCAT,2020,115997.570061,2000,15236,33
1111,MINERAL,2020,29666.8421487,2000,15290,2
1112,DEL PUERTO,2020,390647.255599,2000,29881,11
261,SAWTOOTH COMPLEX,2006,61767.18,2000,18494,35
263,PINES,2002,61691.24,2000,26578,27
264,PALM#1,2002,94.97114,2000,705,4
271,PARADISE,2005,3081.726,2000,6137,3
283,DOS PALMAS,2008,456.4143,2000,4226,1
311,RANGE,2011,241.0146,2000,3533,10
314,EAGLE,2011,13992.99,2000,8233,13
329,BANNER FIRE,2012,5320.116,2000,6861,1
331,MOUNTAIN,2013,27523.67,2000,5702,13
332,RIVER,2013,406.8415,2000,3820,16
351,MOFFAT,2018,1253.925,2000,6644,2
356,HAUGHTELIN,2010,2319.5,2000,5166,20
358,TOPOCK,2016,2228.4,2000,4492,184
359,SENATOR,2012,47.72357,2000,2937,300
360,ALAMO,2016,136.4,2000,3282,41
368,DRAPER,2017,754.3,2000,5349,11
400,VIEW,2012,376.1476,2000,3817,7
410,WINDY POINT,2011,541.494,2000,2449,3
417,STEWART,2012,10630.18,2000,5490,2
418,POWERHOUSE,2013,30267.57,2000,9258,49
505,BLAISDELL,2005,5491.788,2000,4843,1
506,COYOTE,2003,18704.78,2000,7109,2
512,OLD,2003,91428,2000,6255,1
531,TRAM,2013,59.22004,2000,1644,4
565,HACKBERRY COMPLEX 1,2005,63771.3,2000,25865,2
678,SODA,2005,449.4977,2000,3409,8
721,DOS AMIGOS,2005,746.0347,2000,4738,1
78,INDIAN 2,2005,188.7452,2000,3192,5
82,VERBENIA,2004,3831.371,2000,4028,5
856,HWY166,2004,65.16033,2000,2836,11
873,ROMERO,2000,1706.85,2000,3891,1
911,NEW IDRIA,2003,632.0136,2000,4026,11
926,BECK,2000,396.3609,2000,3513,27
929,BASALT,2004,410.184,2000,3551,68
935,BROWN,2008,3786.915,2000,6740,1
939,COTTONWOOD2,2008,796.5697,2000,3424,2
946,PARKWAY,2009,689.9021,2000,3679,15
974,SODA,2011,1533.496,2000,6473,2
997,MCCABE,2015,1728.974,2000,4024,1
