usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
2426791	Rana muscosa Camp, 1917	species	ACCEPTED	EXACT	Rana muscosa	99	Animalia	Chordata	Anura	Ranidae	Rana	Rana muscosa	1	44	131	952	6746	2422253	2426791	FALSE	Amphibia	Rana muscosa	NA	NA
8874008	Raja mucosa Lacépède, 1798	species	ACCEPTED	FUZZY	Raja mucosa	0	Animalia	Chordata	Rajiformes	Rajidae	Raja	Raja mucosa	1	44	121	884	5877	2342057	8874008	FALSE	Elasmobranchii	Rana muscosa	NA	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=1
7376335	Rosa muscosa Aiton	species	SYNONYM	FUZZY	Rosa muscosa	0	Plantae	Tracheophyta	Rosales	Rosaceae	Rosa	Rosa centifolia	6	7707728	220	691	5015	8395064	8207703	TRUE	Magnoliopsida	Rana muscosa	8207703	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=0
3005746	Rosa ×muscosa Mill.	species	SYNONYM	FUZZY	Rosa muscosa	0	Plantae	Tracheophyta	Rosales	Rosaceae	Rosa	Rosa centifolia	6	7707728	220	691	5015	8395064	3002410	TRUE	Magnoliopsida	Rana muscosa	3002410	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=0
8786983	Raja mucosa Steller, 1814	species	DOUBTFUL	FUZZY	Raja mucosa	0	Animalia	Chordata	Rajiformes	Rajidae	Raja	Raja mucosa	1	44	121	884	5877	2342057	8786983	FALSE	Elasmobranchii	Rana muscosa	NA	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=-5
2426776	Rana pretiosa Baird & Girard, 1853	species	ACCEPTED	EXACT	Rana pretiosa	99	Animalia	Chordata	Anura	Ranidae	Rana	Rana pretiosa	1	44	131	952	6746	2422253	2426776	FALSE	Amphibia	Rana pretiosa	NA	NA
8615039	Renea pretiosa (Andreae, 1904)	species	ACCEPTED	FUZZY	Renea pretiosa	0	Animalia	Mollusca	Architaenioglossa	Aciculidae	Renea	Renea pretiosa	1	52	225	455	3244657	3244658	8615039	FALSE	Gastropoda	Rana pretiosa	NA	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=1
2426754	Rana sierrae Camp, 1917	species	ACCEPTED	EXACT	Rana sierrae	99	Animalia	Chordata	Anura	Ranidae	Rana	Rana sierrae	1	44	131	952	6746	2422253	2426754	FALSE	Amphibia	Rana sierrae	NA	NA
8813658	Rana aberae Ahl, 1925	species	SYNONYM	FUZZY	Rana aberae	9	Animalia	Chordata	Anura	Ptychadenidae	Ptychadena	Ptychadena anchietae	1	44	131	952	6745	2428884	2428904	TRUE	Amphibia	Rana sierrae	2428904	Similarity: name=5; authorship=0; classification=-2; rank=6; status=0
8894817	Caretta caretta (Linnaeus, 1758)	species	ACCEPTED	EXACT	Caretta caretta	99	Animalia	Chordata	Testudines	Cheloniidae	Caretta	Caretta caretta	1	44	358	793	9413	2442177	8894817	FALSE	Reptilia	Caretta caretta	NA	NA
2442225	Chelonia mydas (Linnaeus, 1758)	species	ACCEPTED	EXACT	Chelonia mydas	97	Animalia	Chordata	Testudines	Cheloniidae	Chelonia	Chelonia mydas	1	44	358	793	9413	2441864	2442225	FALSE	Reptilia	Chelonia mydas	NA	NA
8940269	Chelonia mydas Gray, 1831	species	SYNONYM	EXACT	Chelonia mydas	97	Animalia	Chordata	Testudines	Cheloniidae	Chelonia	Chelonia mydas	1	44	358	793	9413	2441864	2442225	TRUE	Reptilia	Chelonia mydas	2442225	Similarity: name=110; authorship=0; classification=-2; rank=6; status=0
