usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
2489160	Riparia riparia (Linnaeus, 1758)	species	ACCEPTED	EXACT	Riparia riparia	99	Animalia	Chordata	Passeriformes	Hirundinidae	Riparia	Riparia riparia	1	44	212	729	5248	2489158	2489160	FALSE	Aves	Riparia riparia	NA	NA
7596905	Polioptila californica californica	subspecies	ACCEPTED	EXACT	Polioptila californica californica	98	Animalia	Chordata	Passeriformes	Polioptilidae	Polioptila	Polioptila californica	1	44	212	729	5789066	2487581	2487600	FALSE	Aves	Polioptila californica californica	NA	NA
8934987	Artemisiospiza belli clementeae (Ridgway, 1898)	subspecies	ACCEPTED	EXACT	Artemisiospiza belli clementeae	98	Animalia	Chordata	Passeriformes	Emberizidae	Artemisiospiza	Artemisiospiza belli	1	44	212	729	9608	6100796	6100797	FALSE	Aves	Artemisiospiza belli clementeae	NA	NA
6173883	Melospiza melodia graminea C.H.Townsend, 1890	subspecies	ACCEPTED	EXACT	Melospiza melodia graminea	98	Animalia	Chordata	Passeriformes	Emberizidae	Melospiza	Melospiza melodia	1	44	212	729	9608	2492191	2492196	FALSE	Aves	Melospiza melodia graminea	NA	NA
6091918	Melozone crissalis eremophila (van Rossem, 1935)	subspecies	ACCEPTED	FUZZY	Melozone crissalis eremophila	96	Animalia	Chordata	Passeriformes	Emberizidae	Melozone	Melozone crissalis	1	44	212	729	9608	2491170	7341600	FALSE	Aves	Melozone crissalis eremophilus	NA	NA
6173946	Passerculus sandwichensis beldingi Ridgway, 1885	subspecies	ACCEPTED	EXACT	Passerculus sandwichensis beldingi	98	Animalia	Chordata	Passeriformes	Emberizidae	Passerculus	Passerculus sandwichensis	1	44	212	729	9608	5231141	5231142	FALSE	Aves	Passerculus sandwichensis beldingi	NA	NA
2484445	Agelaius tricolor (Audubon, 1837)	species	ACCEPTED	EXACT	Agelaius tricolor	99	Animalia	Chordata	Passeriformes	Icteridae	Agelaius	Agelaius tricolor	1	44	212	729	6176	2484444	2484445	FALSE	Aves	Agelaius tricolor	NA	NA
6163345	Sorex ornatus relictus Grinnell, 1932	subspecies	ACCEPTED	EXACT	Sorex ornatus relictus	98	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	1	44	359	803	5534	2435935	2436078	FALSE	Mammalia	Sorex ornatus relictus	NA	NA
2433312	Leptonycteris yerbabuenae Martínez & Villa-R., 1940	species	ACCEPTED	EXACT	Leptonycteris yerbabuenae	99	Animalia	Chordata	Chiroptera	Phyllostomidae	Leptonycteris	Leptonycteris yerbabuenae	1	44	359	734	9366	2433311	2433312	FALSE	Mammalia	Leptonycteris yerbabuenae	NA	NA
6164827	Sylvilagus bachmani riparius Orr, 1935	subspecies	ACCEPTED	EXACT	Sylvilagus bachmani riparius	98	Animalia	Chordata	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus bachmani	1	44	359	785	9379	2436839	2436846	FALSE	Mammalia	Sylvilagus bachmani riparius	NA	NA
6163526	Aplodontia rufa nigra Taylor, 1914	subspecies	ACCEPTED	EXACT	Aplodontia rufa nigra	98	Animalia	Chordata	Rodentia	Aplodontiidae	Aplodontia	Aplodontia rufa	1	44	359	1459	5491	2439689	2439690	FALSE	Mammalia	Aplodontia rufa nigra	NA	NA
